id,customer_id,rep_id,conference_total_01,conference_total_02,conference_total_03,conference_total_04,conference_total_05,conference_total_06,conference_total_07,conference_total_08,conference_total_09,conference_total_10,conference_total_11,conference_total_12,email_open_total_01,email_open_total_02,email_open_total_03,email_open_total_04,email_open_total_05,email_open_total_06,email_open_total_07,email_open_total_08,email_open_total_09,email_open_total_10,email_open_total_11,email_open_total_12,f2f_total_01,f2f_total_02,f2f_total_03,f2f_total_04,f2f_total_05,f2f_total_06,f2f_total_07,f2f_total_08,f2f_total_09,f2f_total_10,f2f_total_11,f2f_total_12,prescription_total_01,prescription_total_02,prescription_total_03,prescription_total_04,prescription_total_05,prescription_total_06,prescription_total_07,prescription_total_08,prescription_total_09,prescription_total_10,prescription_total_11,prescription_total_12,webinar_total_01,webinar_total_02,webinar_total_03,webinar_total_04,webinar_total_05,webinar_total_06,webinar_total_07,webinar_total_08,webinar_total_09,webinar_total_10,webinar_total_11,webinar_total_12,office_or_hospital_based,gender,is_cardiologist,is_gp,years_since_graduation
0,100,100,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,3,1,1,4,2,4,8,8,6,4,7,9,10,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,0,0,Office,False,False,True,23.0
1,101,101,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,4,2,0,0,0,2,2,2,1,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,27.0
2,102,101,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,2,1,1,0,2,3,6,4,4,2,3,0,0,0,23,0,0,15,0,0,22,0,0,23,0,0,0,0,0,0,0,0,1,1,1,0,Hospital,True,False,True,29.0
3,103,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hospital,False,False,True,22.0
4,104,103,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,2,1,2,1,1,2,2,3,2,3,3,6,6,7,5,7,6,7,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,27.0
5,105,100,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,2,0,2,2,2,2,3,3,4,4,4,4,2,3,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Office,False,False,True,44.0
6,106,101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,1,0,3,4,3,3,2,2,1,2,2,3,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,35.0
7,107,101,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,2,0,2,3,1,0,2,3,2,3,3,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,42.0
8,108,104,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,2,1,2,9,10,9,10,12,13,13,11,10,11,11,0,0,0,2,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,True,False,45.0
9,109,101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,2,0,1,2,3,4,4,4,5,6,5,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,19.0
10,110,105,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,2,0,0,0,2,3,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,22.0
11,111,106,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,7,3,2,1,2,3,5,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,21.0
12,112,107,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,2,2,3,0,2,2,1,3,1,2,2,4,3,5,5,5,4,3,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,29.0
13,113,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,0,0,3,1,0,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Office,True,False,True,43.0
14,114,105,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,22.0
15,115,109,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,2,2,1,1,1,0,1,1,1,1,2,6,5,4,3,5,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,True,False,48.0
16,116,110,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,3,0,1,3,0,1,1,1,5,3,5,6,5,4,2,4,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,35.0
17,117,111,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,2,1,2,3,0,0,1,3,5,5,4,2,1,1,1,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,32.0
18,118,112,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,1,0,0,1,0,1,0,0,1,3,5,5,4,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,36.0
19,119,102,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,44.0
20,120,101,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,2,0,0,1,0,2,4,3,2,2,4,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Office,True,False,True,29.0
21,121,113,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Office,False,False,True,37.0
22,122,112,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,1,0,1,0,0,1,2,5,5,4,3,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,27.0
23,123,114,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,2,1,0,0,1,1,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,41.0
24,124,115,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,4,1,2,4,0,2,0,2,3,0,0,1,2,2,2,1,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,27.0
25,125,116,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,26.0
26,126,105,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,1,0,2,1,2,1,1,0,3,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,29.0
27,127,105,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,47.0
28,128,113,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,1,1,0,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,47.0
29,129,117,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,3,0,1,2,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,31.0
30,130,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,29.0
31,131,118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,1,1,1,2,4,1,1,1,2,2,3,2,1,1,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,38.0
32,132,118,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1,2,1,3,0,1,2,0,1,1,1,2,4,4,4,4,5,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,46.0
33,133,119,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,3,0,0,2,0,2,1,1,6,5,4,2,3,3,5,8,11,10,8,0,0,0,5,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,False,True,39.0
34,134,120,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,3,0,2,2,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,18.0
35,135,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,1,4,3,0,0,0,2,2,1,2,3,4,5,4,4,5,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office,True,False,True,23.0
36,136,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,6,4,5,8,8,6,7,5,8,6,7,0,0,0,3,0,0,2,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Office,False,True,False,20.0
